"","Sp","Limb.length","Limb.width","Observer"
"1","H. sapiens",38,3.28,"John F"
"2","M. musculus",3,0.64,"Jesse P"
"3","D. melanogaster",0.52,0.09,"Michael T"
"4","M. mulatta",12,1.23,"Anthony C"
"5","P. tigris",25,2.55,"Michael F"
"6","V. komodoensis",8,4.11,"Noah B"
"7","E. maximus",63,11.4,"Julia H"
"8","H. sapiens",33,2.93,"Aaryan C"
"9","M. musculus",3.2,0.78,"Erika M"
"10","D. melanogaster",0.46,0.08,"Olivier R"
"11","M. mulatta",11,1.19,"Jesse P"
"12","P. tigris",27,2.69,"Michael T"
"13","V. komodoensis",9,4.15,"Anthony C"
"14","E. maximus",66,11.3,"Michael F"
"15","H. sapiens",36,3.64,"Noah B"
"16","M. musculus",3.11,0.66,"Julia H"
"17","D. melanogaster",0.54,0.1,"Aaryan C"
"18","M. mulatta",11,1.25,"Erika M"
"19","P. tigris",23,2.61,"Olivier R"
"20","V. komodoensis",9,4.62,"Jesse P"
"21","E. maximus",64,11.8,"Michael T"
